word,tag,wn_label,mw_label,dc_label,comb_label,true_label
faith,NN,neutral,neutral,fem,neutral,neutral
faiths,NNS,neutral,neutral,fem,neutral,neutral
falsetto,NN,masc,neutral,masc,masc,neutral
father,NN,masc,masc,masc,masc,masc
fathers,NNS,masc,masc,masc,masc,masc
favours,NNS,neutral,neutral,fem,neutral,neutral
fellow,NN,masc,neutral,masc,masc,neutral
fellows,NNS,masc,neutral,masc,masc,masc
female,NN,fem,fem,fem,fem,fem
females,NNS,fem,fem,fem,fem,fem
filly,NN,fem,fem,fem,fem,fem
fireman,NN,masc,masc,masc,masc,masc
firemen,NNS,masc,masc,masc,masc,masc
fisherman,NN,masc,masc,masc,masc,masc
fishermen,NNS,masc,masc,masc,masc,masc
flank,NN,neutral,neutral,masc,neutral,neutral
flanks,NNS,neutral,neutral,masc,neutral,neutral
flirt,NN,fem,neutral,neutral,neutral,neutral
flora,NNS,neutral,neutral,fem,neutral,neutral
ford,NN,masc,neutral,fem,neutral,neutral
fords,NNS,masc,neutral,fem,neutral,neutral
freedmen,NNS,masc,masc,masc,masc,masc
freemen,NNS,masc,masc,masc,masc,masc
freshman,NN,masc,masc,masc,masc,masc
freshmen,NNS,masc,masc,masc,masc,masc
frontman,NN,masc,masc,masc,masc,masc
gal,NN,fem,neutral,fem,fem,fem
geishas,NNS,fem,neutral,fem,fem,fem
gene,NN,neutral,neutral,masc,neutral,neutral
genes,NNS,neutral,neutral,masc,neutral,neutral
gens,NNS,masc,neutral,neutral,neutral,neutral
gentlemen,NNS,masc,masc,masc,masc,masc
ginger,NN,neutral,neutral,fem,neutral,neutral
girl,NN,fem,fem,fem,fem,fem
girlfriend,NN,fem,neutral,fem,fem,fem
girlfriends,NNS,fem,neutral,fem,fem,fem
girls,NNS,fem,fem,fem,fem,fem
gob,NN,masc,neutral,neutral,neutral,neutral
god,NN,masc,neutral,masc,masc,neutral
goddess,NN,fem,fem,fem,fem,fem
goddesses,NNS,fem,fem,fem,fem,fem
godfather,NN,masc,neutral,masc,masc,masc
gods,NNS,masc,neutral,masc,masc,masc
gown,NN,fem,neutral,fem,fem,neutral
granddaughter,NN,fem,fem,fem,fem,fem
grandfather,NN,masc,neutral,masc,masc,masc
grandmother,NN,fem,fem,fem,fem,fem
grandnephew,NN,masc,neutral,masc,masc,masc
grandson,NN,masc,masc,masc,masc,masc
guy,NN,masc,neutral,masc,masc,masc
guys,NNS,masc,neutral,masc,masc,masc
hairstyle,NN,fem,neutral,neutral,neutral,neutral
ham,NN,masc,neutral,masc,masc,neutral
hashish,NN,neutral,fem,fem,fem,neutral
headmaster,NN,neutral,masc,masc,masc,masc
heiress,NN,fem,fem,fem,fem,fem
helmsman,NN,masc,masc,masc,masc,masc
henchman,NN,masc,masc,masc,masc,masc
henchmen,NNS,masc,masc,masc,masc,masc
herb,NN,neutral,neutral,masc,neutral,neutral
herbs,NNS,neutral,neutral,masc,neutral,neutral
herding,NN,not_found,neutral,masc,neutral,neutral
hero,NN,masc,neutral,masc,masc,neutral
heroes,NNS,masc,neutral,masc,masc,neutral
heros,NNS,masc,neutral,masc,masc,neutral
hijackers,NNS,masc,neutral,neutral,neutral,neutral
him-,NN,not_found,masc,not_found,masc,masc
hind,NN,fem,neutral,fem,fem,fem
hoax,NN,neutral,neutral,masc,neutral,neutral
hogs,NNS,neutral,neutral,masc,neutral,neutral
homunculus,NN,neutral,neutral,masc,neutral,neutral
honor,NN,fem,neutral,masc,neutral,neutral
honors,NNS,fem,neutral,masc,neutral,neutral
honour,NN,fem,neutral,neutral,neutral,neutral
honours,NNS,neutral,neutral,neutral,neutral,neutral
hop,NN,neutral,neutral,fem,neutral,neutral
hops,NNS,neutral,neutral,fem,neutral,neutral
horsemanship,NN,neutral,neutral,neutral,neutral,neutral
hose,NN,masc,neutral,neutral,neutral,neutral
hoses,NNS,masc,neutral,neutral,neutral,neutral
hostess,NN,fem,neutral,fem,fem,fem
housekeeper,NN,neutral,neutral,fem,neutral,neutral
housemaid,NN,fem,fem,fem,fem,fem
housewife,NN,neutral,fem,fem,fem,fem
human,NN,neutral,neutral,masc,neutral,neutral
humans,NNS,neutral,neutral,masc,neutral,neutral
husband,NN,masc,masc,masc,masc,masc
husbands,NNS,masc,masc,masc,masc,masc
infantrymen,NNS,masc,masc,masc,masc,masc
intersex,NN,neutral,neutral,neutral,neutral,neutral
jade,NN,fem,neutral,neutral,neutral,neutral
jewel,NN,neutral,neutral,fem,neutral,neutral
joy,NN,neutral,neutral,fem,neutral,neutral
junior,NN,masc,neutral,masc,masc,neutral
king,NN,masc,neutral,masc,masc,masc
kinsman,NN,masc,masc,masc,masc,masc
kit,NN,neutral,neutral,masc,neutral,neutral
kits,NNS,neutral,neutral,masc,neutral,neutral
knockout,NN,fem,neutral,neutral,neutral,neutral
knockouts,NNS,fem,neutral,neutral,neutral,neutral
ladies,NNS,fem,neutral,neutral,neutral,fem
lady,NN,fem,fem,fem,fem,fem
lance,NN,neutral,neutral,masc,neutral,neutral
landlady,NN,fem,fem,fem,fem,fem
landlord,NN,neutral,neutral,masc,neutral,masc
landlords,NNS,neutral,neutral,masc,neutral,masc
lane,NN,neutral,neutral,masc,neutral,neutral
lanes,NNS,neutral,neutral,masc,neutral,neutral
laymen,NNS,masc,masc,masc,masc,masc
lesbian,NN,fem,neutral,fem,fem,fem
lesbians,NNS,fem,neutral,fem,fem,fem
letters,NNS,neutral,not_found,masc,neutral,neutral
lilies,NNS,neutral,neutral,fem,neutral,neutral
lineman,NN,masc,masc,masc,masc,masc
lizard,NN,masc,neutral,neutral,neutral,neutral
lorries,NNS,neutral,neutral,fem,neutral,neutral
lot,NN,neutral,neutral,fem,neutral,neutral
louts,NNS,neutral,neutral,neutral,neutral,neutral
lover,NN,neutral,neutral,masc,neutral,neutral
lovers,NNS,neutral,neutral,masc,neutral,neutral
madam,NN,fem,fem,fem,fem,fem
maid,NN,fem,neutral,fem,fem,fem
maiden,NN,neutral,neutral,fem,neutral,fem
maids,NNS,fem,neutral,fem,fem,fem
male,NN,masc,masc,masc,masc,masc
males,NNS,masc,masc,masc,masc,masc
man,NN,masc,masc,masc,masc,masc
manhood,NN,masc,neutral,masc,masc,neutral
mare,NN,fem,fem,fem,fem,fem
mars,NN,masc,neutral,masc,masc,neutral
master,NN,neutral,neutral,masc,neutral,neutral
mater,NN,fem,neutral,fem,fem,neutral
max,NN,neutral,neutral,masc,neutral,neutral
melodies,NNS,neutral,neutral,fem,neutral,neutral
melody,NN,neutral,neutral,fem,neutral,neutral
member,NN,neutral,neutral,neutral,neutral,neutral
members,NNS,neutral,neutral,neutral,neutral,neutral
men,NNS,masc,masc,masc,masc,masc
menopause,NN,fem,neutral,fem,fem,neutral
mercy,NN,neutral,neutral,fem,neutral,neutral
metropolitan,NN,neutral,neutral,neutral,neutral,neutral
mezzo,NN,fem,neutral,neutral,neutral,neutral
middleman,NN,masc,masc,masc,masc,masc
middlemen,NNS,masc,masc,masc,masc,masc
midshipman,NN,masc,masc,masc,masc,masc
milk,NN,fem,neutral,fem,fem,neutral
milkman,NN,masc,masc,masc,masc,masc
mill,NN,masc,neutral,neutral,neutral,neutral
mills,NNS,masc,neutral,neutral,neutral,neutral
mini,NN,neutral,neutral,fem,neutral,neutral
minor,NN,neutral,neutral,masc,neutral,neutral
minors,NNS,neutral,neutral,masc,neutral,neutral
miss,NN,fem,neutral,fem,fem,fem
mistress,NN,fem,fem,fem,fem,fem
mistresses,NNS,fem,fem,fem,fem,fem
mob,NN,neutral,neutral,fem,neutral,neutral
monk,NN,masc,neutral,masc,masc,masc
monks,NNS,masc,neutral,not_found,neutral,masc
moose,NN,masc,neutral,neutral,neutral,neutral
mosquitos,NN,fem,neutral,masc,neutral,neutral
mother,NN,fem,fem,fem,fem,fem
mothers,NNS,fem,fem,fem,fem,fem
mummy,NN,fem,neutral,fem,fem,fem
name,NN,masc,neutral,neutral,neutral,neutral
names,NNS,masc,neutral,neutral,neutral,neutral
nanny,NN,fem,neutral,fem,fem,fem
nativity,NN,masc,neutral,neutral,neutral,neutral
nephew,NN,masc,masc,masc,masc,masc
nephews,NNS,masc,masc,masc,masc,masc
niece,NN,fem,fem,fem,fem,fem
nobleman,NN,masc,masc,masc,masc,masc
norm,NN,neutral,neutral,masc,neutral,neutral
norms,NNS,neutral,neutral,masc,neutral,neutral
nun,NN,fem,fem,neutral,fem,fem
nuns,NNS,fem,fem,neutral,fem,fem
nurse,NN,fem,neutral,neutral,neutral,neutral
nurses,NNS,fem,neutral,neutral,neutral,fem
oestrogen,NN,fem,neutral,neutral,neutral,neutral
ops,NN,fem,fem,fem,fem,neutral
orphan,NN,fem,neutral,neutral,neutral,neutral
otter,NN,neutral,neutral,masc,neutral,neutral
pantheism,NN,neutral,neutral,masc,neutral,neutral
panties,NNS,neutral,fem,neutral,neutral,neutral
pantyhose,NN,fem,neutral,neutral,neutral,neutral
parachute,NN,neutral,neutral,masc,neutral,neutral
parachutists,NNS,neutral,neutral,masc,neutral,neutral
parity,NN,fem,neutral,neutral,neutral,neutral
parts,NNS,neutral,neutral,masc,neutral,neutral
pasties,NNS,neutral,fem,neutral,neutral,neutral
patience,NN,neutral,neutral,fem,neutral,neutral
patriarch,NN,masc,masc,masc,masc,masc
patriarchy,NN,masc,neutral,masc,masc,neutral
patrimony,NN,neutral,masc,masc,masc,neutral
patrolman,NN,masc,masc,masc,masc,masc
patron,NN,neutral,neutral,masc,neutral,neutral
patrons,NNS,neutral,neutral,masc,neutral,neutral
pats,NNS,neutral,neutral,masc,neutral,neutral
paw,NN,neutral,neutral,masc,neutral,neutral
peaches,NNS,fem,neutral,neutral,neutral,neutral
peat,NN,neutral,neutral,fem,neutral,neutral
penny,NN,neutral,neutral,fem,neutral,neutral
pens,NNS,neutral,neutral,fem,neutral,neutral
platform,NN,neutral,neutral,neutral,neutral,neutral
platforms,NNS,neutral,neutral,neutral,neutral,neutral
policeman,NN,masc,masc,masc,masc,masc
pop,NN,masc,neutral,masc,masc,neutral
pope,NN,neutral,neutral,masc,neutral,masc
postman,NN,masc,masc,masc,masc,masc
preman,NN,masc,masc,masc,masc,masc
press,NN,neutral,neutral,masc,neutral,neutral
presses,NNS,neutral,neutral,masc,neutral,neutral
priestesses,NNS,fem,fem,fem,fem,fem
primogeniture,NN,masc,masc,neutral,masc,neutral
prince,NN,masc,neutral,masc,masc,masc
princes,NNS,masc,neutral,masc,masc,masc
princess,NN,fem,fem,fem,fem,fem
princesses,NNS,fem,fem,fem,fem,fem
principle,NN,neutral,neutral,masc,neutral,neutral
principles,NNS,neutral,neutral,masc,neutral,neutral
prioress,NN,neutral,neutral,neutral,neutral,fem
progesterone,NN,neutral,fem,neutral,neutral,neutral
prostate,NN,neutral,neutral,masc,neutral,neutral
prostitute,NN,fem,neutral,fem,fem,fem
prostitutes,NNS,fem,neutral,fem,fem,fem
punch,NN,neutral,neutral,masc,neutral,neutral
punchers,NNS,neutral,neutral,masc,neutral,neutral
punches,NNS,neutral,neutral,masc,neutral,neutral
punching,NN,not_found,neutral,masc,neutral,neutral
punk,NN,neutral,neutral,neutral,neutral,neutral
purity,NN,fem,neutral,neutral,neutral,neutral
queen,NN,fem,fem,fem,fem,fem
rabbi,NN,neutral,neutral,masc,neutral,masc
rahman,NN,masc,masc,masc,masc,neutral
rams,NNS,neutral,neutral,masc,neutral,masc
rape,NN,fem,neutral,fem,fem,neutral
rapes,NNS,fem,neutral,fem,fem,neutral
rapists,NNS,neutral,neutral,fem,neutral,neutral
reaper,NN,masc,neutral,neutral,neutral,neutral
religieuses,NNS,not_found,not_found,fem,fem,neutral
resin,NN,neutral,neutral,masc,neutral,neutral
resource,NN,neutral,neutral,masc,neutral,neutral
revelation,NN,masc,neutral,neutral,neutral,neutral
ring,NN,neutral,neutral,masc,neutral,neutral
rings,NNS,neutral,neutral,masc,neutral,neutral
rock,NN,neutral,neutral,masc,neutral,neutral
rocks,NNS,neutral,neutral,masc,neutral,neutral
rod,NN,neutral,neutral,masc,neutral,neutral
rodes,NNS,not_found,neutral,neutral,neutral,neutral
rooster,NN,masc,masc,masc,masc,masc
rosette,NN,neutral,neutral,fem,neutral,neutral
rosettes,NNS,neutral,neutral,fem,neutral,neutral
sacks,NNS,neutral,neutral,neutral,neutral,neutral
sage,NN,neutral,neutral,masc,neutral,neutral
sages,NNS,neutral,neutral,masc,neutral,neutral
satyr,NN,masc,neutral,neutral,neutral,neutral
schoolmaster,NN,neutral,masc,masc,masc,neutral
scrubber,NN,neutral,neutral,fem,neutral,neutral
senior,NN,neutral,neutral,masc,neutral,neutral
seniors,NNS,neutral,neutral,masc,neutral,neutral
sequencing,NN,not_found,neutral,fem,neutral,neutral
servicing,NN,masc,neutral,neutral,neutral,neutral
sherry,NN,neutral,neutral,fem,neutral,neutral
showman,NN,masc,masc,masc,masc,masc
sideman,NN,masc,masc,masc,masc,masc
sir,NN,masc,not_found,masc,masc,masc
sire,NN,masc,masc,masc,masc,masc
siren,NN,fem,neutral,fem,fem,neutral
sister,NN,fem,fem,fem,fem,fem
sisters,NNS,fem,fem,fem,fem,fem
skinhead,NN,neutral,masc,masc,masc,neutral
skinheads,NNS,neutral,masc,masc,masc,neutral
skirt,NN,fem,neutral,neutral,neutral,neutral
skirts,NNS,fem,neutral,neutral,neutral,neutral
snatch,NN,fem,neutral,neutral,neutral,neutral
son,NN,masc,masc,masc,masc,masc
sons,NNS,masc,masc,masc,masc,masc
soprano,NN,fem,neutral,fem,fem,neutral
soul,NN,neutral,neutral,masc,neutral,neutral
spark,NN,neutral,neutral,masc,neutral,neutral
specimen,NN,masc,masc,masc,masc,neutral
spectator,NN,fem,neutral,neutral,neutral,neutral
spectators,NNS,fem,neutral,neutral,neutral,neutral
sperm,NN,masc,neutral,neutral,neutral,neutral
sphinx,NN,neutral,masc,neutral,neutral,neutral
spokesman,NN,masc,masc,masc,masc,masc
sportsman,NN,masc,masc,masc,masc,masc
stag,NN,masc,masc,masc,masc,masc
stallion,NN,masc,masc,masc,masc,masc
stamina,NN,masc,neutral,neutral,neutral,neutral
standing,NN,neutral,neutral,masc,neutral,neutral
standings,NNS,neutral,neutral,masc,neutral,neutral
statesman,NN,masc,masc,masc,masc,masc
steer,NN,neutral,neutral,masc,neutral,neutral
stepbrother,NN,neutral,masc,masc,masc,masc
stepbrothers,NNS,neutral,masc,masc,masc,masc
stepfather,NN,neutral,masc,masc,masc,masc
stepson,NN,masc,masc,masc,masc,masc
stress,NN,neutral,neutral,fem,neutral,neutral
stresses,NNS,neutral,neutral,fem,neutral,neutral
strongman,NN,masc,masc,masc,masc,masc
stud,NN,masc,masc,neutral,masc,masc
subhuman,NN,not_found,neutral,masc,neutral,neutral
sweethearts,NNS,fem,neutral,neutral,neutral,neutral
swingman,NN,masc,masc,masc,masc,masc
tap,NN,neutral,neutral,neutral,neutral,neutral
tart,NN,fem,neutral,neutral,neutral,neutral
tenor,NN,masc,neutral,masc,masc,masc
testes,NNS,masc,masc,neutral,masc,neutral
testosterone,NN,masc,masc,masc,masc,neutral
thuggery,NN,neutral,neutral,masc,neutral,neutral
thugs,NNS,neutral,neutral,masc,neutral,neutral
titania,NN,neutral,fem,fem,fem,fem
tradesmen,NNS,masc,masc,masc,masc,masc
trainmen,NNS,masc,masc,masc,masc,masc
treble,NN,fem,neutral,neutral,neutral,neutral
trousers,NNS,neutral,neutral,neutral,neutral,neutral
uncle,NN,masc,masc,masc,masc,masc
uncles,NNS,masc,masc,masc,masc,masc
underclassmen,NNS,masc,masc,masc,masc,masc
vera,NN,not_found,not_found,fem,fem,fem
verge,NN,neutral,neutral,neutral,neutral,neutral
violation,NN,neutral,neutral,neutral,neutral,neutral
violations,NNS,neutral,neutral,neutral,neutral,neutral
violet,NN,neutral,neutral,fem,neutral,neutral
virgin,NN,neutral,neutral,fem,neutral,neutral
vrijman,NN,masc,masc,masc,masc,masc
waiter,NN,neutral,neutral,masc,neutral,masc
weed,NN,masc,neutral,neutral,neutral,neutral
weeds,NNS,masc,neutral,neutral,neutral,neutral
wench,NN,fem,fem,fem,fem,fem
widow,NN,neutral,neutral,fem,neutral,fem
widows,NNS,neutral,neutral,fem,neutral,fem
wife,NN,fem,fem,fem,fem,fem
wildfowl,NN,neutral,neutral,masc,neutral,neutral
will,NN,neutral,not_found,masc,neutral,neutral
wives,NNS,neutral,fem,fem,fem,fem
wolf,NN,masc,masc,neutral,masc,neutral
wolves,NNS,masc,masc,neutral,masc,neutral
woman,NN,fem,fem,fem,fem,fem
women,NNS,fem,fem,fem,fem,fem
youth,NN,masc,neutral,neutral,neutral,neutral
youths,NNS,masc,neutral,neutral,neutral,neutral
